50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.678873,,,,,,,,,,,,,,,6fcd5e72-72fa-4423-984f-4e35ff116813,66,,,"[101.0, 38.9]",3890279,0,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Marc Stendera,10896.0,Left Midfield,4,Eintracht Frankfurt,184,['02cf45ca-d467-4a9a-90ff-75bcee4383be'],59,Right Foot,,"[115.5, 39.2, 0.2]",,"[{'location': [92.0, 43.4], 'player': {'id': 8959, 'name': 'Christian Gentner'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [95.2, 45.8], 'player': {'id': 34558, 'name': 'Sereso Geoffroy Gonzaroua Dié'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [104.2, 44.9], 'player': {'id': 12626, 'name': 'Emiliano Adrián Insúa Zapata'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [104.1, 42.4], 'player': {'id': 4683, 'name': 'Adam Hloušek'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [104.5, 37.6], 'player': {'id': 8270, 'name': 'Daniel Schwaab'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [103.7, 40.2], 'player': {'id': 8956, 'name': 'Timo Baumgartl'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [115.7, 40.2], 'player': {'id': 9082, 'name': 'Przemysław Tytoń'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [93.2, 40.5], 'player': {'id': 400619, 'name': 'Stefan Reinartz'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': True}, {'location': [92.4, 53.4], 'player': {'id': 5543, 'name': 'Haris Seferović'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': True}, {'location': [99.6, 50.7], 'player': {'id': 21156, 'name': 'Stefan Aigner'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': True}, {'location': [109.3, 41.7], 'player': {'id': 7846, 'name': 'Luc Castaignos'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': True}, {'location': [83.0, 64.6], 'player': {'id': 5591, 'name': 'Filip Kostić'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': False}]",0dee41e6-b6ca-4803-bdb2-769c1b7b022b,,,Saved,0.06509427,Normal,Open Play,,,,Eintracht Frankfurt,184,00:00:59.439,Shot,
,,,,,,,,,,,,,,,,,0.713759,,,,,,,,,,,,,,,f262fdc5-fdb3-4bcf-8de4-8c6c95b5da3e,927,,,"[107.7, 33.1]",3890279,24,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Christian Gentner,8959.0,Right Defensive Midfield,75,VfB Stuttgart,174,['8e9467f0-37e3-4d87-bb43-d7513bbf178c'],18,Right Foot,,"[111.8, 41.4]",True,"[{'location': [117.2, 36.5], 'player': {'id': 8667, 'name': 'Lukáš Hrádecký'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [109.5, 42.6], 'player': {'id': 8504, 'name': 'Bastian Oczipka'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [105.5, 34.3], 'player': {'id': 400619, 'name': 'Stefan Reinartz'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [96.5, 26.8], 'player': {'id': 5681, 'name': 'Makoto Hasebe'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [96.5, 16.9], 'player': {'id': 21156, 'name': 'Stefan Aigner'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': False}, {'location': [111.4, 36.4], 'player': {'id': 8812, 'name': 'Marco Russ'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [111.1, 29.8], 'player': {'id': 36359, 'name': 'Carlos Augusto Zambrano Ochandarte'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [116.5, 17.1], 'player': {'id': 8670, 'name': 'Timothy Chandler'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [94.8, 19.1], 'player': {'id': 34558, 'name': 'Sereso Geoffroy Gonzaroua Dié'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': True}, {'location': [110.1, 35.0], 'player': {'id': 9409, 'name': 'Daniel Ginczek'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': True}, {'location': [110.5, 43.1], 'player': {'id': 8243, 'name': 'Daniel Didavi'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': True}]",f65183aa-d19b-40c1-8cac-ad7bb3910b64,,,Wayward,0.066409975,Half Volley,Open Play,,,,VfB Stuttgart,174,00:24:18.678,Shot,
,,,,,,,,,,,,,,,,,0.86279,,,,,,,,,,,,,,,eaae082a-5d87-4eac-b1ac-f25564cde9a5,975,,,"[103.2, 23.7]",3890279,26,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Daniel Ginczek,9409.0,Left Center Forward,79,VfB Stuttgart,174,['837cc0b5-b67f-4967-86eb-a1a9eeef0f22'],4,Right Foot,,"[117.6, 37.6, 0.9]",,"[{'location': [90.9, 47.1], 'player': {'id': 10896, 'name': 'Marc Stendera'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': False}, {'location': [118.1, 37.6], 'player': {'id': 8667, 'name': 'Lukáš Hrádecký'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [92.9, 33.8], 'player': {'id': 400619, 'name': 'Stefan Reinartz'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [90.8, 15.5], 'player': {'id': 8670, 'name': 'Timothy Chandler'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [98.5, 28.8], 'player': {'id': 5681, 'name': 'Makoto Hasebe'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [104.5, 39.4], 'player': {'id': 8504, 'name': 'Bastian Oczipka'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [105.6, 29.2], 'player': {'id': 8812, 'name': 'Marco Russ'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [106.1, 21.4], 'player': {'id': 36359, 'name': 'Carlos Augusto Zambrano Ochandarte'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [108.1, 18.6], 'player': {'id': 21156, 'name': 'Stefan Aigner'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': False}, {'location': [85.7, 14.0], 'player': {'id': 5591, 'name': 'Filip Kostić'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': True}, {'location': [110.4, 17.5], 'player': {'id': 12626, 'name': 'Emiliano Adrián Insúa Zapata'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': True}, {'location': [98.7, 36.4], 'player': {'id': 8243, 'name': 'Daniel Didavi'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': True}, {'location': [104.3, 36.9], 'player': {'id': 8557, 'name': 'Martin Harnik'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': True}]",fc2ec179-ccde-471e-8d4a-c09f1714a4b5,,,Saved,0.042546302,Normal,Open Play,,,,VfB Stuttgart,174,00:26:04.168,Shot,
,,,,,,,,,,,,,,,,,0.06127,,,,,,,,,,,,,,,d1df49ec-ce7b-4d35-8626-9c8412391fa1,1051,,,"[109.1, 31.5]",3890279,28,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Daniel Didavi,8243.0,Right Midfield,85,VfB Stuttgart,174,"['097f3be5-786b-48d4-81c1-dfb118243fd2', '62cc5b19-811b-4e82-88cd-49b4c6670af8', 'c5c86675-0e50-4dd3-9f5c-e29ea524f2d1']",40,Left Foot,,"[109.6, 31.8]",True,"[{'location': [115.9, 36.1], 'player': {'id': 8667, 'name': 'Lukáš Hrádecký'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [108.1, 41.1], 'player': {'id': 8504, 'name': 'Bastian Oczipka'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [97.7, 19.4], 'player': {'id': 8670, 'name': 'Timothy Chandler'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [109.2, 32.6], 'player': {'id': 400619, 'name': 'Stefan Reinartz'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [112.7, 27.0], 'player': {'id': 8812, 'name': 'Marco Russ'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [116.1, 23.5], 'player': {'id': 36359, 'name': 'Carlos Augusto Zambrano Ochandarte'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [116.1, 26.7], 'player': {'id': 9409, 'name': 'Daniel Ginczek'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': True}, {'location': [115.7, 15.8], 'player': {'id': 8557, 'name': 'Martin Harnik'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': True}]",970c999c-f4c1-48e9-9d9c-90a1e6d970be,,,Blocked,0.19337523,Normal,Open Play,,,,VfB Stuttgart,174,00:28:40.981,Shot,True
,,,,,,,,,,,,,,,,,0.478971,,,,,,,,,,,,,,,819d4c5d-5451-43c9-8caf-44fcbf7ef468,1060,,,"[114.7, 42.5]",3890279,29,,,,,,,,,,,,,,,,,,,,,,,1,From Corner,Daniel Didavi,8243.0,Right Midfield,86,VfB Stuttgart,174,['2207bcc2-fec0-4354-82c0-53cdf2aaceaf'],17,Left Foot,,"[120.0, 40.5, 0.2]",True,"[{'location': [113.0, 52.3], 'player': {'id': 8504, 'name': 'Bastian Oczipka'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [98.1, 23.1], 'player': {'id': 5681, 'name': 'Makoto Hasebe'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [108.2, 41.5], 'player': {'id': 8670, 'name': 'Timothy Chandler'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [111.7, 46.2], 'player': {'id': 8812, 'name': 'Marco Russ'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [114.3, 48.6], 'player': {'id': 10896, 'name': 'Marc Stendera'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': False}, {'location': [115.5, 46.7], 'player': {'id': 8667, 'name': 'Lukáš Hrádecký'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [115.2, 40.1], 'player': {'id': 36359, 'name': 'Carlos Augusto Zambrano Ochandarte'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [105.8, 43.7], 'player': {'id': 9409, 'name': 'Daniel Ginczek'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': True}, {'location': [114.5, 41.7], 'player': {'id': 8557, 'name': 'Martin Harnik'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': True}, {'location': [111.5, 32.9], 'player': {'id': 8959, 'name': 'Christian Gentner'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': True}, {'location': [102.9, 18.1], 'player': {'id': 5591, 'name': 'Filip Kostić'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': True}, {'location': [115.8, 37.9], 'player': {'id': 8956, 'name': 'Timo Baumgartl'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': True}, {'location': [113.9, 56.7], 'player': {'id': 34558, 'name': 'Sereso Geoffroy Gonzaroua Dié'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': True}]",35c51489-4124-4935-b93c-42a3de94c279,,True,Goal,0.8822858,Normal,Open Play,,,,VfB Stuttgart,174,00:29:17.442,Shot,
,,,,,,,,,,,,,,,,,1.543915,,,,,,,,,,,,,,,9d23cfba-f2f4-43a2-96e5-b7c6d2093a9f,1107,,,"[79.7, 38.3]",3890279,31,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Daniel Didavi,8243.0,Right Midfield,91,VfB Stuttgart,174,['87babea4-c2c4-4ef3-80a2-963db899b6e2'],36,Left Foot,,"[120.0, 38.2, 5.1]",,"[{'location': [116.3, 38.9], 'player': {'id': 8667, 'name': 'Lukáš Hrádecký'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [90.0, 38.6], 'player': {'id': 7846, 'name': 'Luc Castaignos'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': False}, {'location': [90.1, 37.5], 'player': {'id': 5543, 'name': 'Haris Seferović'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': False}, {'location': [94.3, 47.9], 'player': {'id': 10896, 'name': 'Marc Stendera'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': False}, {'location': [102.3, 42.2], 'player': {'id': 5681, 'name': 'Makoto Hasebe'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [102.1, 45.6], 'player': {'id': 8504, 'name': 'Bastian Oczipka'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [100.8, 36.1], 'player': {'id': 8670, 'name': 'Timothy Chandler'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [97.7, 28.8], 'player': {'id': 21156, 'name': 'Stefan Aigner'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': False}, {'location': [102.1, 37.3], 'player': {'id': 36359, 'name': 'Carlos Augusto Zambrano Ochandarte'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [102.6, 33.8], 'player': {'id': 8812, 'name': 'Marco Russ'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [102.5, 30.6], 'player': {'id': 400619, 'name': 'Stefan Reinartz'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [101.8, 43.1], 'player': {'id': 34558, 'name': 'Sereso Geoffroy Gonzaroua Dié'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': True}, {'location': [102.8, 43.9], 'player': {'id': 4683, 'name': 'Adam Hloušek'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': True}, {'location': [93.2, 31.0], 'player': {'id': 5591, 'name': 'Filip Kostić'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': True}, {'location': [86.4, 48.3], 'player': {'id': 8270, 'name': 'Daniel Schwaab'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': True}, {'location': [86.4, 23.1], 'player': {'id': 12626, 'name': 'Emiliano Adrián Insúa Zapata'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': True}, {'location': [101.2, 40.9], 'player': {'id': 8557, 'name': 'Martin Harnik'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': True}, {'location': [103.1, 32.4], 'player': {'id': 8956, 'name': 'Timo Baumgartl'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': True}, {'location': [103.8, 36.1], 'player': {'id': 9409, 'name': 'Daniel Ginczek'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': True}]",,,,Off T,0.007205806,Normal,Free Kick,,,,VfB Stuttgart,174,00:31:36.167,Shot,
,,,,,,,,,,,,,,,,,0.518795,,,,,,,,,,,,,,,526b4f02-3ccc-4cfe-9258-69dd2b5d4be7,1165,,,"[117.0, 41.5]",3890279,33,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Martin Harnik,8557.0,Right Center Forward,94,VfB Stuttgart,174,['958e2319-3109-4a54-a4fe-1db935e97023'],31,Right Foot,,"[120.0, 41.9, 5.3]",True,"[{'location': [98.2, 30.5], 'player': {'id': 5681, 'name': 'Makoto Hasebe'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [106.0, 38.1], 'player': {'id': 400619, 'name': 'Stefan Reinartz'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [116.2, 39.6], 'player': {'id': 8504, 'name': 'Bastian Oczipka'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [106.1, 25.0], 'player': {'id': 8670, 'name': 'Timothy Chandler'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [112.6, 34.1], 'player': {'id': 8812, 'name': 'Marco Russ'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [118.2, 27.3], 'player': {'id': 36359, 'name': 'Carlos Augusto Zambrano Ochandarte'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [118.2, 37.8], 'player': {'id': 8667, 'name': 'Lukáš Hrádecký'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [109.4, 36.9], 'player': {'id': 9409, 'name': 'Daniel Ginczek'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': True}, {'location': [119.1, 25.4], 'player': {'id': 5591, 'name': 'Filip Kostić'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': True}]",c06f2b2d-3814-4b15-bc49-9543167c901a,,True,Off T,0.79681826,Half Volley,Open Play,,,,VfB Stuttgart,174,00:33:31.026,Shot,
,,,,,,,,,,,,,,,,,0.573776,,,,,,,,,,,,,,,1e571f89-c7c1-469c-adc4-f7aaf23ee489,1506,,,"[114.3, 41.5]",3890279,41,,,,,,,,,,,,,,,,,,,,,,,1,From Counter,Luc Castaignos,7846.0,Left Center Forward,114,Eintracht Frankfurt,184,['43d4c43f-80c4-4ae6-b5ac-d2e65feeabc6'],8,Right Foot,,"[120.0, 41.5, 0.9]",True,"[{'location': [114.2, 23.6], 'player': {'id': 5543, 'name': 'Haris Seferović'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': True}, {'location': [111.7, 27.8], 'player': {'id': 8956, 'name': 'Timo Baumgartl'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [109.3, 36.1], 'player': {'id': 4683, 'name': 'Adam Hloušek'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [113.5, 39.1], 'player': {'id': 12626, 'name': 'Emiliano Adrián Insúa Zapata'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [117.1, 38.8], 'player': {'id': 9082, 'name': 'Przemysław Tytoń'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}]",5c6be669-c4be-4b5a-a383-75d5735c30c6,,,Goal,0.7623895,Normal,Open Play,,,,Eintracht Frankfurt,184,00:41:08.851,Shot,
,,,,,,,,,,,,,,,,,0.245451,,,,,,,,,,,,,,,a2d9ff0d-3aaf-4b5b-9f7c-7835d0547e85,1518,,,"[97.4, 46.7]",3890279,42,,,,,,,,,,,,,,,,,,,,,,,1,From Kick Off,Daniel Ginczek,9409.0,Left Center Forward,115,VfB Stuttgart,174,"['9b8ba89e-562a-436d-8278-1ac6dea6a857', 'f5a70b5f-7e01-4017-8b52-520df27bd56c']",12,Right Foot,,"[102.0, 45.6]",,"[{'location': [93.0, 57.6], 'player': {'id': 400619, 'name': 'Stefan Reinartz'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [97.7, 43.1], 'player': {'id': 5681, 'name': 'Makoto Hasebe'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [91.7, 42.1], 'player': {'id': 21156, 'name': 'Stefan Aigner'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': False}, {'location': [92.1, 17.2], 'player': {'id': 5591, 'name': 'Filip Kostić'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': True}, {'location': [98.6, 35.2], 'player': {'id': 8243, 'name': 'Daniel Didavi'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': True}, {'location': [101.1, 51.0], 'player': {'id': 8557, 'name': 'Martin Harnik'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': True}, {'location': [102.9, 49.3], 'player': {'id': 8504, 'name': 'Bastian Oczipka'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [115.4, 40.8], 'player': {'id': 8667, 'name': 'Lukáš Hrádecký'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [102.3, 45.9], 'player': {'id': 8812, 'name': 'Marco Russ'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [97.5, 45.5], 'player': {'id': 36359, 'name': 'Carlos Augusto Zambrano Ochandarte'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [101.0, 27.6], 'player': {'id': 8670, 'name': 'Timothy Chandler'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}]",99e0b893-03a8-48c6-a314-b693b1c45870,,,Blocked,0.047200304,Normal,Open Play,,,,VfB Stuttgart,174,00:42:12.954,Shot,
,,,,,,,,,,,,,,,,,0.524034,,,,,,,,,,,,,,,415eb3f7-c279-48b9-8685-187898699d23,1533,,,"[95.2, 43.8]",3890279,42,,,,,,,,,,,,,,,,,,,,,,,1,From Corner,Filip Kostić,5591.0,Left Midfield,116,VfB Stuttgart,174,"['78a92b89-dc69-4cd8-b3da-7f8b21a34bf9', 'e68d469e-1630-4831-861c-2a689a34f77f']",50,Left Foot,,"[105.4, 41.6]",,"[{'location': [105.0, 40.6], 'player': {'id': 4683, 'name': 'Adam Hloušek'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': True}, {'location': [103.7, 59.5], 'player': {'id': 8270, 'name': 'Daniel Schwaab'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': True}, {'location': [108.5, 42.8], 'player': {'id': 8557, 'name': 'Martin Harnik'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': True}, {'location': [105.9, 34.7], 'player': {'id': 9409, 'name': 'Daniel Ginczek'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': True}, {'location': [88.4, 6.1], 'player': {'id': 8243, 'name': 'Daniel Didavi'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': True}, {'location': [101.4, 39.2], 'player': {'id': 8959, 'name': 'Christian Gentner'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': True}, {'location': [107.8, 37.6], 'player': {'id': 8956, 'name': 'Timo Baumgartl'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': True}, {'location': [82.3, 35.6], 'player': {'id': 34558, 'name': 'Sereso Geoffroy Gonzaroua Dié'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': True}, {'location': [105.0, 49.4], 'player': {'id': 8504, 'name': 'Bastian Oczipka'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [106.0, 42.3], 'player': {'id': 36359, 'name': 'Carlos Augusto Zambrano Ochandarte'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [105.7, 37.7], 'player': {'id': 5681, 'name': 'Makoto Hasebe'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [116.9, 40.0], 'player': {'id': 8667, 'name': 'Lukáš Hrádecký'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [101.5, 37.1], 'player': {'id': 400619, 'name': 'Stefan Reinartz'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [100.1, 38.9], 'player': {'id': 10896, 'name': 'Marc Stendera'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': False}, {'location': [101.2, 43.6], 'player': {'id': 8812, 'name': 'Marco Russ'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [92.1, 21.1], 'player': {'id': 7846, 'name': 'Luc Castaignos'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': False}, {'location': [83.0, 27.9], 'player': {'id': 5543, 'name': 'Haris Seferović'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': False}, {'location': [98.8, 12.8], 'player': {'id': 8670, 'name': 'Timothy Chandler'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [93.2, 25.4], 'player': {'id': 21156, 'name': 'Stefan Aigner'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': False}]",,,,Blocked,0.03635055,Half Volley,Open Play,,,,VfB Stuttgart,174,00:42:50.388,Shot,
